704	583	760	9709	8137915
854	895	103	36895	7845371
558	83	57	86254	6274318
590	856	598	56661	9666006
559	146	539	22211	4381245
341	848	444	70919	7567398
943	430	228	16666	1002731
190	819	799	78292	6124557
197	215	961	74549	6022046
916	304	883	84488	9525906
255	296	542	40003	8114456
606	814	835	96299	6286786
884	743	158	30823	9671769
356	144	492	20046	1613851
740	653	663	12414	1602161
136	578	168	29313	9560855
773	668	857	63003	4752363
257	937	40	50687	1666874
240	976	109	89333	192384
446	509	176	63236	5910958
598	560	569	52809	1995231
733	546	766	15805	1561627
917	995	665	51355	347824
925	957	91	20599	6286520
753	95	189	84511	3887363
215	530	905	74980	9327274
23	402	738	73955	5113873
774	885	516	46967	5634150
660	559	126	56827	5632362
375	446	688	3298	6262657
624	357	34	44185	1569716
546	881	147	76161	878281
268	18	739	82470	7775774
967	356	757	2160	1505668
70	562	742	18059	5558445
524	31	641	77911	4246291
621	703	401	4795	4521615
638	705	395	80986	6018115
810	550	805	35341	2963883
870	124	894	37511	5937260
702	553	97	4997	3174115
831	821	228	65688	103407
202	884	674	15202	4074612
150	807	917	4180	4230792
309	285	983	33333	2732551
820	32	409	61509	9787359
236	409	538	97823	2477606
489	849	481	28596	2522572
851	521	448	16339	7087632
856	695	260	43033	2604411
1000	758	735	93186	2133430
890	670	997	85426	7022834
429	889	393	10332	4390510
515	909	390	4414	601268
550	948	314	60628	52943
331	179	224	75347	5042738
22	316	405	67945	7324971
278	797	635	7034	8380682
211	703	971	1662	4415503
764	657	180	56738	7864048
870	736	386	57950	1555751
144	270	47	32551	5930212
572	227	552	49267	526589
588	323	348	37236	749047
439	411	940	21461	8188106
304	649	18	92687	3162403
997	325	114	4580	7076400
992	165	34	98184	5923391
73	838	572	11742	5652433
55	668	788	26947	7162098
269	524	333	75856	7365998
208	124	848	74543	187441
273	774	510	17841	721107
126	694	500	66835	4523984
691	53	212	6082	2781825
722	787	223	71812	3931500
503	539	591	34759	3871635
63	257	536	36272	2471477
432	41	226	22249	5658912
208	498	969	37302	4939921
670	312	852	36852	4647187
765	377	416	225	150531
581	346	621	84721	6277047
237	630	221	24425	3537223
998	896	450	68275	9567589
500	166	550	31585	3756792
492	453	597	24881	5749737
913	14	240	67222	6777602
367	199	188	79756	503643
526	779	215	78611	9263338
347	322	995	40926	9044095
856	362	4	93023	4714585
707	235	368	92822	2687028
932	527	444	80895	3224820
189	515	325	64412	6437116
497	910	343	68184	4757758
459	569	714	40222	2009832
138	505	522	95087	6922211
646	377	633	23570	5157508
674	546	983	86155	305068
662	197	19	48260	6502025
44	776	489	3083	1247941
510	835	599	71631	9102552
230	457	180	14906	5861378
500	130	810	12426	9155757
545	7	15	72786	3336037
39	11	413	1152	5168452
311	176	197	27816	6254484
389	855	298	81375	9125146
380	38	908	85790	5189378
378	215	802	94158	329669
689	127	347	48986	3068533
138	766	174	44608	1635003
374	679	862	33442	8192995
175	714	851	44168	7957594
634	299	344	10843	4351430
35	254	286	51632	4284328
410	318	976	72751	8614425
170	108	664	7590	5293829
465	857	189	84360	4597968
103	153	606	56315	7278365
561	30	777	80866	5022285
22	12	68	15489	9816725
293	552	565	77755	8479397
944	939	592	55474	9419108
868	310	992	67588	5990665
128	81	872	21357	9991275
570	596	456	10421	8732140
924	393	405	65397	7776079
498	13	93	70135	1956964
730	65	794	94034	6128887
619	202	444	85975	4398205
585	248	477	99990	5921742
57	263	689	2634	8548940
37	411	440	46764	9442956
983	156	134	11180	7005336
383	896	998	4767	4784488
153	685	58	54825	6944793
850	666	235	53009	2198523
408	390	682	15327	6230301
698	844	972	37562	3110041
722	735	34	6196	4042305
339	903	86	2446	5960742
887	305	914	79432	8441483
201	769	261	15090	3750241
413	748	546	582	4065559
459	18	301	71149	55516
388	944	375	17269	2857008
160	522	571	21228	3799845
402	357	285	53013	901544
369	489	50	51806	9072322
401	392	141	28667	5460635
518	711	682	83517	155200
433	476	762	5223	6897915
10	839	277	81950	8817973
304	916	60	48221	8559463
799	786	708	96549	783388
279	570	282	1323	4224445
393	597	163	79085	8250003
422	708	517	90948	9299592
4	206	947	71595	4888465
857	237	292	53069	5051382
388	965	231	56365	6111093
439	343	882	95866	7065404
93	663	752	96494	9961612
313	726	163	20971	9965915
55	530	829	44266	4377168
38	575	441	66123	6649091
912	843	572	20625	9156681
159	218	634	16271	7760944
94	587	370	90692	8147077
71	484	394	92444	2250013
906	797	767	64440	5204538
544	588	379	19137	7306683
314	732	110	22879	7882693
178	563	403	66941	6109692
643	798	384	76854	631038
178	537	650	6946	286234
811	505	77	67010	6079371
152	538	907	38423	378453
211	130	338	64593	4442641
668	585	88	78006	2350571
751	322	182	81981	1587842
138	530	869	15315	1837935
23	898	509	80493	1158241
684	349	888	57548	3984134
472	998	267	89553	2530146
143	245	603	77275	5924464
347	870	795	20623	7330801
946	636	517	50133	4141778
821	724	311	36498	7009086
140	255	321	15647	5350332
815	851	692	49160	474862
823	429	285	48469	1788372
330	260	400	73349	832492
816	912	670	79899	444075
794	57	291	51885	2584045
188	829	678	45302	3020419
488	305	545	80682	4997947
886	484	948	99028	8801540
480	540	275	2764	8766456
390	823	112	46285	3052975
551	969	529	44352	9096309
8	687	905	34368	3477088
650	944	950	25528	8056319
402	420	234	66980	9708281
364	192	719	77994	7666032
104	645	937	72237	9133682
525	277	982	50291	3322424
835	722	94	43078	6810704
335	468	143	9788	3701594
757	649	170	79217	2967281
80	889	678	96110	5940895
306	84	318	87234	338647
718	516	207	25071	7917207
54	589	946	1154	9052502
458	528	510	63440	9157094
629	744	869	11224	5380284
238	648	340	46652	9733260
700	861	615	64931	2585157
703	677	749	29139	1869779
233	583	284	9951	8761459
464	789	538	12673	248810
194	856	340	3980	827502
268	664	494	15668	8747032
698	449	900	59354	9758756
764	96	945	43384	5199059
257	164	422	39650	982575
733	72	821	96571	6180744
750	822	63	23468	6545357
31	92	189	98585	4129023
743	452	282	24193	4993497
544	952	833	32197	9550727
659	880	410	27450	4410628
813	403	482	46826	3619588
345	915	883	67520	8604287
311	839	141	9977	6512351
2	430	846	23967	3479806
949	633	406	54732	1331381
516	515	372	46702	5214750
733	969	220	70717	6190661
574	230	884	9469	5091847
416	9	989	37268	3588860
552	371	59	82397	9562598
344	422	665	30774	6712017
666	5	404	49340	1729393
993	792	135	25581	5979776
953	379	428	37497	4024188
779	134	135	48231	6932111
514	149	444	22934	1560665
359	537	171	6850	1656120
721	410	258	7072	1133541
180	6	401	654	4075911
272	65	840	19365	7033091
633	66	330	70357	3461785
90	465	801	36397	3317993
307	872	499	92330	7716946
557	341	846	29096	6243136
127	389	851	25631	6578403
706	492	517	61473	3540682
406	604	32	31819	3350538
745	997	337	83214	941577
400	574	736	12801	1676100
442	961	375	16054	779816
895	347	753	83069	9186660
595	799	435	26429	2093825
578	522	284	50892	5473639
513	440	261	81035	1719144
576	491	477	36674	5314079
574	785	676	57099	3349627
124	510	872	2198	794062
547	531	776	76700	5754222
928	462	246	3954	5176507
462	824	356	8043	4864498
159	887	851	2323	2498997
899	976	460	40982	1090186
409	360	296	97587	3421187
477	464	789	8303	9886055
484	678	396	43703	2872038
632	388	656	55296	729368
893	723	713	62095	4418983
103	195	670	73240	7132546
257	673	748	95042	5589737
633	622	479	14481	9800006
285	913	199	15689	2779125
712	813	574	12321	123219
432	602	132	9688	2907133
717	648	726	36974	8289455
194	120	967	36143	2332618
984	478	390	42775	6438775
976	710	256	50301	4856602
804	575	538	27524	734433
268	646	260	33149	4805014
584	300	636	63018	9457671
187	714	568	96117	7672170
269	217	732	50264	4705827
389	697	433	12644	7926073
715	195	60	29757	4719793
998	103	637	63213	7583663
302	35	149	29078	8270439
799	144	309	9054	3669267
851	28	545	85867	9989263
895	754	472	51318	4187231
723	997	992	77989	7370655
521	808	325	72481	3378838
900	401	938	5336	7132579
289	145	817	48021	167116
567	291	199	39248	9685283
521	401	133	74250	9553063
150	279	787	77930	7498230
7	565	833	94640	2473675
590	413	466	23769	4593118
60	678	866	23975	8087056
768	834	32	68860	7663598
441	821	964	74146	2368151
379	431	665	43151	2419791
619	968	242	8027	2922215
449	96	708	47315	6618668
158	733	854	80316	3678363
712	143	571	80502	3750427
390	669	21	90591	2661206
733	131	970	80289	402480
423	1	992	6780	4011232
145	616	455	226	6730813
607	783	71	6033	9475672
303	88	483	56444	6183812
291	938	333	97897	2428152
860	292	26	65156	4851891
868	688	898	5994	4051358
860	569	320	4719	3397226
423	446	423	56138	1374833
177	361	744	42022	3879000
970	553	196	55182	1367361
648	79	290	67658	9548828
369	893	23	87909	3093325
382	782	701	42584	5506585
175	175	714	24997	4701243
744	510	851	21029	9583257
818	459	130	62756	3384650
970	651	1	93306	1663897
901	701	832	41980	6690427
934	175	1	42666	1980940
599	178	926	48788	5181035
90	615	168	55905	3185155
728	884	99	58424	836491
862	734	930	14185	8417684
431	607	95	81041	8809888
483	7	83	9810	1581568
381	93	135	91632	6697275
338	170	573	20459	1207157
318	745	323	61263	2570316
571	870	528	83116	5756612
980	162	791	120	2524254
894	757	456	67093	4067834
911	221	544	90651	1637172
984	347	272	46352	7246106
695	860	701	72820	9757476
915	535	247	63393	358761
656	998	80	57191	8725405
744	972	802	28727	9720469
527	683	726	16214	1254748
820	975	910	11430	5901138
424	319	389	67166	1572321
308	529	321	48962	7113494
268	457	326	52123	510253
410	336	43	18678	2887492
279	251	493	23066	2615259
732	413	166	76848	4073216
774	850	802	86231	1964122
92	928	853	79041	3566459
919	53	96	44600	5676855
247	949	143	22649	5125853
662	270	372	80796	8051683
382	779	7	85596	4294939
839	550	571	74982	1167442
70	656	880	68892	7628695
520	121	940	32104	7230245
114	577	577	10212	7893732
55	812	143	511	745543
783	145	845	84000	938252
118	488	299	18085	1935937
503	229	640	68991	4516022
894	391	580	66320	5774780
44	654	372	42490	4785784
491	704	604	33872	1020740
654	138	630	17044	300251
100	733	789	57497	9763556
203	119	501	96202	3934205
244	318	41	73842	8049385
718	471	988	80781	6376344
776	448	645	54770	8013635
440	457	627	98296	7344786
545	496	126	83921	1519397
777	910	992	47367	7811059
636	663	122	50207	7403486
165	62	157	58923	869133
912	882	440	79848	4950830
836	579	325	6608	3243372
20	579	296	28393	3324382
150	12	97	74807	7798318
854	478	267	117	2926525
974	261	827	963	259375
263	169	757	50242	8474178
672	490	144	51797	591979
860	377	913	49489	3795873
309	536	791	15163	6007462
900	129	825	71201	9727306
987	242	737	11391	192113
418	356	6	74468	19920
295	853	194	20958	3897396
581	864	491	42632	89877
736	970	26	2298	3120609
98	121	269	98398	203262
259	257	967	59965	6478839
532	552	448	21480	6527766
668	337	631	97674	3408163
533	521	548	15119	976999
281	246	860	76208	2256810
853	946	322	92188	8934215
38	837	624	93020	6915336
