Student ID,Group,Account ID
1,ИУ5,1001
2,ФМ4,1002
3,ИУ5,1003
4,ИУ1,1004
5,МТ2,1005
6,МТ1,1006
7,ФМ5,1007
8,ФМ3,1008
9,ИУ5,1009
10,ФМ1,1010
11,ФМ2,1011
12,МТ5,1012
13,МТ2,1013
14,АК2,1014
15,МТ1,1015
16,МТ2,1016
17,РК2,1017
18,РК5,1018
19,ИУ3,1019
20,ФМ3,1020
21,РК5,1021
22,МТ5,1022
23,РК4,1023
24,МТ2,1024
25,МТ2,1025
26,ИУ1,1026
27,АК5,1027
28,РК5,1028
29,МТ4,1029
30,МТ2,1030
31,РК1,1031
32,РК1,1032
33,АК1,1033
34,АК4,1034
35,МТ4,1035
36,МТ4,1036
37,АК3,1037
38,ИУ5,1038
39,РК2,1039
40,АК3,1040
41,АК3,1041
42,МТ4,1042
43,АК4,1043
44,АК1,1044
45,ФМ3,1045
46,РК2,1046
47,АК4,1047
48,ФМ3,1048
49,РК3,1049
50,ФМ5,1050
51,АК1,1051
52,ФМ1,1052
53,ИУ2,1053
54,АК2,1054
55,ИУ5,1055
56,АК3,1056
57,ИУ2,1057
58,ФМ4,1058
59,РК5,1059
60,МТ2,1060
61,РК1,1061
62,ИУ5,1062
63,АК4,1063
64,РК4,1064
65,ИУ4,1065
66,ФМ2,1066
67,ФМ3,1067
68,ФМ3,1068
69,МТ4,1069
70,АК5,1070
71,МТ4,1071
72,МТ2,1072
73,АК1,1073
74,АК4,1074
75,АК2,1075
76,АК4,1076
77,РК1,1077
78,АК3,1078
79,МТ3,1079
80,РК1,1080
81,АК3,1081
82,МТ2,1082
83,АК5,1083
84,ИУ3,1084
85,АК4,1085
86,МТ2,1086
87,ФМ3,1087
88,ИУ1,1088
89,АК1,1089
90,МТ3,1090
91,АК5,1091
92,АК4,1092
93,МТ4,1093
94,АК5,1094
95,РК5,1095
96,ФМ5,1096
97,ФМ4,1097
98,ФМ2,1098
99,ФМ4,1099
100,ФМ3,1100
101,ИУ5,1101
102,ИУ3,1102
103,МТ4,1103
104,МТ3,1104
105,ИУ1,1105
106,ФМ4,1106
107,ИУ1,1107
108,МТ5,1108
109,МТ2,1109
110,АК3,1110
111,АК2,1111
112,МТ5,1112
113,ИУ3,1113
114,МТ4,1114
115,ФМ5,1115
116,ИУ5,1116
117,ИУ4,1117
118,АК2,1118
119,ФМ5,1119
120,МТ1,1120
121,МТ4,1121
122,МТ3,1122
123,ФМ2,1123
124,ФМ2,1124
125,АК5,1125
126,АК5,1126
127,ИУ4,1127
128,МТ2,1128
129,ФМ1,1129
130,ИУ1,1130
131,РК1,1131
132,ФМ3,1132
133,ФМ5,1133
134,РК4,1134
135,МТ3,1135
136,ФМ5,1136
137,ИУ2,1137
138,РК1,1138
139,АК3,1139
140,ФМ1,1140
141,ФМ4,1141
142,ФМ4,1142
143,ИУ3,1143
144,АК2,1144
145,МТ1,1145
146,РК1,1146
147,ФМ4,1147
148,АК4,1148
149,РК5,1149
150,ИУ2,1150
151,МТ5,1151
152,МТ5,1152
153,ФМ3,1153
154,АК1,1154
155,МТ2,1155
156,ИУ3,1156
157,АК5,1157
158,РК4,1158
159,МТ2,1159
160,МТ4,1160
161,РК5,1161
162,АК1,1162
163,ИУ3,1163
164,РК5,1164
165,МТ2,1165
166,МТ1,1166
167,ИУ2,1167
168,АК4,1168
169,ИУ2,1169
170,ИУ5,1170
171,РК2,1171
172,ИУ4,1172
173,РК5,1173
174,ФМ1,1174
175,ФМ1,1175
176,РК4,1176
177,МТ1,1177
178,МТ3,1178
179,МТ1,1179
180,МТ4,1180
181,ИУ1,1181
182,АК4,1182
183,ИУ4,1183
184,ИУ3,1184
185,РК5,1185
186,РК4,1186
187,РК5,1187
188,РК3,1188
189,РК4,1189
190,АК5,1190
191,ФМ4,1191
192,ФМ5,1192
193,МТ2,1193
194,РК3,1194
195,РК3,1195
196,РК5,1196
197,ИУ2,1197
198,ИУ2,1198
199,ФМ3,1199
200,МТ2,1200
201,МТ1,1201
202,ФМ1,1202
203,МТ4,1203
204,РК5,1204
205,МТ3,1205
206,ИУ1,1206
207,ФМ3,1207
208,ФМ1,1208
209,ИУ2,1209
210,АК1,1210
211,ФМ4,1211
212,ИУ1,1212
213,ИУ4,1213
214,РК3,1214
215,ИУ3,1215
216,АК2,1216
217,АК3,1217
218,ФМ5,1218
219,МТ5,1219
220,ИУ5,1220
221,МТ2,1221
222,ФМ4,1222
223,МТ1,1223
224,АК3,1224
225,АК5,1225
226,ИУ3,1226
227,РК5,1227
228,АК1,1228
229,ФМ1,1229
230,АК1,1230
231,ФМ5,1231
232,АК5,1232
233,РК3,1233
234,ФМ1,1234
235,АК2,1235
236,АК3,1236
237,МТ3,1237
238,РК3,1238
239,АК3,1239
240,ИУ5,1240
241,МТ4,1241
242,АК1,1242
243,МТ2,1243
244,РК3,1244
245,ФМ4,1245
246,ИУ1,1246
247,МТ3,1247
248,МТ1,1248
249,ФМ5,1249
250,АК4,1250
251,ИУ5,1251
252,МТ4,1252
253,АК5,1253
254,АК1,1254
255,АК5,1255
256,ФМ3,1256
257,ФМ2,1257
258,МТ3,1258
259,ФМ1,1259
260,РК4,1260
261,РК4,1261
262,МТ4,1262
263,МТ5,1263
264,РК4,1264
265,АК5,1265
266,ИУ1,1266
267,АК2,1267
268,АК4,1268
269,АК1,1269
270,АК2,1270
271,ФМ4,1271
272,АК3,1272
273,АК4,1273
274,РК2,1274
275,ИУ5,1275
276,РК2,1276
277,РК4,1277
278,МТ5,1278
279,АК1,1279
280,ИУ3,1280
281,ФМ2,1281
282,ФМ5,1282
283,ФМ5,1283
284,АК5,1284
285,АК5,1285
286,ИУ3,1286
287,ИУ2,1287
288,МТ5,1288
289,ИУ3,1289
290,ИУ3,1290
291,АК3,1291
292,АК5,1292
293,ИУ4,1293
294,МТ5,1294
295,ФМ5,1295
296,МТ1,1296
297,МТ4,1297
298,АК5,1298
299,ИУ1,1299
300,АК1,1300
301,МТ3,1301
302,АК3,1302
303,РК4,1303
304,ФМ2,1304
305,АК4,1305
306,РК2,1306
307,АК3,1307
308,ИУ1,1308
309,ФМ4,1309
310,РК2,1310
311,АК5,1311
312,МТ3,1312
313,АК1,1313
314,РК1,1314
315,РК4,1315
316,АК5,1316
317,АК2,1317
318,РК5,1318
319,МТ5,1319
320,РК4,1320
321,РК2,1321
322,АК2,1322
323,РК5,1323
324,РК2,1324
325,ФМ2,1325
326,ИУ2,1326
327,РК2,1327
328,РК4,1328
329,ИУ5,1329
330,ИУ5,1330
331,АК5,1331
332,МТ2,1332
333,ИУ4,1333
334,ФМ1,1334
335,ИУ2,1335
336,РК2,1336
337,ИУ4,1337
338,АК5,1338
339,МТ4,1339
340,АК3,1340
341,ИУ3,1341
342,АК2,1342
343,ФМ1,1343
344,ФМ2,1344
345,АК1,1345
346,МТ4,1346
347,ФМ1,1347
348,МТ3,1348
349,МТ3,1349
350,АК2,1350
351,ИУ1,1351
352,ФМ1,1352
353,ИУ3,1353
354,РК3,1354
355,РК1,1355
356,ФМ5,1356
357,АК1,1357
358,АК5,1358
359,МТ2,1359
360,ИУ3,1360
361,ФМ1,1361
362,МТ5,1362
363,МТ5,1363
364,РК1,1364
365,АК3,1365
366,ФМ1,1366
367,ФМ1,1367
368,АК3,1368
369,МТ4,1369
370,РК4,1370
371,РК3,1371
372,АК3,1372
373,АК1,1373
374,РК2,1374
375,ФМ1,1375
376,ФМ5,1376
377,МТ2,1377
378,РК3,1378
379,РК3,1379
380,РК3,1380
381,МТ2,1381
382,ИУ3,1382
383,ИУ2,1383
384,РК4,1384
385,АК3,1385
386,ФМ2,1386
387,ИУ2,1387
388,АК3,1388
389,МТ2,1389
390,РК5,1390
391,АК3,1391
392,МТ2,1392
393,АК3,1393
394,ИУ4,1394
395,РК3,1395
396,АК4,1396
397,РК1,1397
398,РК2,1398
399,ИУ1,1399
400,ФМ5,1400
401,РК1,1401
402,ФМ1,1402
403,АК2,1403
404,АК1,1404
405,РК5,1405
406,ИУ4,1406
407,РК1,1407
408,ИУ3,1408
409,РК4,1409
410,РК1,1410
411,ФМ4,1411
412,ИУ5,1412
413,АК5,1413
414,МТ5,1414
415,РК2,1415
416,ФМ2,1416
417,МТ5,1417
418,МТ1,1418
419,РК5,1419
420,МТ3,1420
421,ИУ4,1421
422,ИУ2,1422
423,АК5,1423
424,РК1,1424
425,АК2,1425
426,ФМ5,1426
427,ФМ5,1427
428,АК1,1428
429,ФМ4,1429
430,ИУ3,1430
431,ФМ2,1431
432,РК2,1432
433,РК1,1433
434,АК4,1434
435,МТ1,1435
436,АК3,1436
437,ИУ4,1437
438,ФМ1,1438
439,АК4,1439
440,ИУ4,1440
441,ИУ4,1441
442,МТ5,1442
443,ИУ2,1443
444,РК2,1444
445,ФМ4,1445
446,МТ4,1446
447,ФМ1,1447
448,МТ3,1448
449,АК1,1449
450,АК3,1450
451,ФМ2,1451
452,ИУ3,1452
453,МТ3,1453
454,ИУ5,1454
455,РК5,1455
456,МТ1,1456
457,АК4,1457
458,ФМ3,1458
459,РК1,1459
460,РК5,1460
461,ФМ2,1461
462,ИУ4,1462
463,АК4,1463
464,АК5,1464
465,ИУ3,1465
466,АК2,1466
467,АК4,1467
468,ИУ1,1468
469,МТ1,1469
470,ИУ1,1470
471,ИУ4,1471
472,АК2,1472
473,ИУ5,1473
474,АК2,1474
475,АК1,1475
476,ФМ3,1476
477,МТ1,1477
478,АК3,1478
479,РК4,1479
480,МТ4,1480
481,МТ3,1481
482,МТ1,1482
483,ФМ3,1483
484,МТ2,1484
485,МТ1,1485
486,ИУ2,1486
487,РК2,1487
488,ИУ1,1488
489,ИУ1,1489
490,ИУ1,1490
491,РК4,1491
492,ФМ2,1492
493,ФМ3,1493
494,ФМ2,1494
495,АК5,1495
496,ФМ2,1496
497,ФМ3,1497
498,ИУ1,1498
499,РК2,1499
500,МТ4,1500
501,ИУ5,1501
502,ФМ4,1502
503,ИУ5,1503
504,РК1,1504
505,ИУ3,1505
506,ФМ4,1506
507,ИУ5,1507
508,РК4,1508
509,МТ1,1509
510,ФМ5,1510
511,ФМ5,1511
512,ФМ2,1512
513,ИУ1,1513
514,РК5,1514
