0,714,472
1,623,437
2,214,495
3,326,787
4,465,787
5,663,837
6,717,501
7,486,167
8,64,7
9,442,504
10,944,957
11,881,900
12,579,953
13,313,392
14,802,345
15,757,803
16,219,794
17,415,194
18,856,153
19,797,380
20,670,703
21,922,384
22,600,469
23,562,81
24,771,34
25,202,151
26,861,870
27,814,30
28,820,994
29,882,506
30,67,755
31,311,543
32,700,774
33,85,888
34,745,399
35,455,962
36,368,469
37,540,353
38,260,284
39,448,290
40,825,509
41,100,35
42,817,484
43,757,706
44,755,93
45,15,680
46,117,285
47,188,263
48,430,182
49,994,798
50,562,451
51,513,538
52,26,901
53,720,689
54,855,11
55,363,935
56,285,982
57,592,649
58,262,756
59,898,955
60,347,151
61,427,742
62,408,735
63,450,624
64,290,907
65,102,343
66,485,866
67,815,153
68,530,199
69,950,666
70,617,504
71,450,620
72,620,895
73,341,447
74,49,887
75,763,536
76,69,757
77,973,58
78,207,343
79,141,101
80,647,389
81,541,868
82,532,488
83,156,951
84,713,386
85,861,800
86,677,433
87,267,48
88,881,836
89,937,924
90,503,481
91,155,611
92,936,225
93,886,766
94,371,441
95,728,922
96,965,747
97,499,938
98,526,795
99,197,898
100,514,829
101,411,441
102,524,682
103,764,872
104,187,143
105,393,972
106,765,35
107,133,725
108,437,493
109,944,291
110,106,392
111,478,71
112,526,238
113,188,378
114,654,837
115,881,236
116,746,564
117,931,989
118,909,413
119,294,361
120,381,291
121,394,703
122,359,75
123,240,667
124,373,259
125,390,985
126,333,427
127,521,583
128,477,725
129,409,294
130,222,843
131,516,43
132,470,660
133,374,108
134,570,425
135,969,507
136,554,144
137,72,720
138,990,398
139,413,990
140,672,879
141,235,21
142,989,951
143,615,337
144,626,721
145,440,673
146,348,141
147,672,165
148,377,226
149,771,220
150,918,802
151,259,157
152,28,693
153,131,961
154,327,943
155,917,103
156,567,367
157,961,837
158,155,816
159,805,351
160,256,19
161,119,362
162,402,622
163,138,811
164,696,738
165,699,197
166,501,166
167,530,193
168,985,494
169,955,172
170,653,244
171,241,375
172,617,622
173,950,774
174,287,767
175,725,497
176,7,579
177,335,884
178,731,773
179,205,477
180,784,59
181,23,392
182,279,979
183,927,813
184,922,661
185,640,462
186,109,538
187,228,579
188,485,921
189,284,372
190,129,266
191,124,160
192,362,557
193,703,874
194,147,961
195,811,861
196,640,451
197,416,908
198,896,412
199,149,39
200,438,688
201,962,411
202,927,153
203,589,945
204,908,938
205,140,796
206,169,117
207,323,253
